Pusgiwa Starry

iter: 234, loss: 13574.224609, content loss: 11268946.000000, style_loss: 569883.437500
iter: 235, loss: 13525.154297, content loss: 11237028.000000, style_loss: 566941.562500
iter: 236, loss: 13464.669922, content loss: 11182623.000000, style_loss: 564821.437500
iter: 237, loss: 13400.000000, content loss: 11155510.000000, style_loss: 559448.937500
iter: 238, loss: 13340.470703, content loss: 11090799.000000, style_loss: 558479.062500
iter: 239, loss: 13281.947266, content loss: 11044677.000000, style_loss: 555775.687500
iter: 240, loss: 13227.045898, content loss: 10990072.000000, style_loss: 554373.500000
iter: 241, loss: 13171.301758, content loss: 10983099.000000, style_loss: 548102.875000
iter: 242, loss: 13115.759766, content loss: 10915052.000000, style_loss: 547964.812500
iter: 243, loss: 13065.430664, content loss: 10885168.000000, style_loss: 544662.062500
iter: 244, loss: 13012.576172, content loss: 10818638.000000, style_loss: 544708.312500
iter: 245, loss: 12954.144531, content loss: 10812582.000000, style_loss: 538009.875000
iter: 246, loss: 12895.085938, content loss: 10742211.000000, style_loss: 537664.687500
iter: 247, loss: 12842.304688, content loss: 10695893.000000, style_loss: 535698.750000
iter: 248, loss: 12789.320312, content loss: 10648658.000000, style_loss: 533799.250000
iter: 249, loss: 12736.640625, content loss: 10629770.000000, style_loss: 529103.187500
iter: 250, loss: 12684.284180, content loss: 10578783.000000, style_loss: 527657.187500
iter: 251, loss: 12632.928711, content loss: 10532930.000000, style_loss: 525823.125000
iter: 252, loss: 12577.347656, content loss: 10498761.000000, style_loss: 522292.406250
iter: 253, loss: 12524.463867, content loss: 10443165.000000, style_loss: 521241.437500
iter: 254, loss: 12479.718750, content loss: 10416840.000000, style_loss: 518280.875000
iter: 255, loss: 12431.489258, content loss: 10354132.000000, style_loss: 518522.906250
iter: 256, loss: 12384.927734, content loss: 10354187.000000, style_loss: 512697.156250
iter: 257, loss: 12332.568359, content loss: 10298314.000000, style_loss: 511739.625000
iter: 258, loss: 12281.536133, content loss: 10243564.000000, style_loss: 510835.656250
iter: 259, loss: 12256.858398, content loss: 10246744.000000, style_loss: 507432.937500
iter: 260, loss: 12213.762695, content loss: 10191190.000000, style_loss: 507601.312500
iter: 261, loss: 12174.913086, content loss: 10156141.000000, style_loss: 506250.000000
iter: 262, loss: 12144.365234, content loss: 10128202.000000, style_loss: 505225.437500
iter: 263, loss: 12089.369141, content loss: 10109164.000000, style_loss: 500254.718750
iter: 264, loss: 12083.826172, content loss: 10098074.000000, style_loss: 500670.843750
iter: 265, loss: 12006.585938, content loss: 10024470.000000, style_loss: 498376.250000
iter: 266, loss: 11977.572266, content loss: 9992656.000000, style_loss: 497930.937500
iter: 267, loss: 11943.217773, content loss: 9972080.000000, style_loss: 495694.281250
